datetime,open,high,low,close,volume
2026-05-04 05:00:00,18660.91,18804.85,18379.47,18564.23,214329
2026-05-04 06:00:00,18543.16,19067.43,18422.58,18618.06,75261
2026-05-04 07:00:00,18209.64,18458.87,18181.54,18215.74,164224
2026-05-04 08:00:00,18310.0,18339.0,18149.19,18307.53,54901
2026-05-04 09:00:00,18195.71,18288.21,18077.39,18196.13,154644
2026-05-04 10:00:00,18214.72,18322.89,18022.68,18304.74,377969
2026-05-04 11:00:00,18020.91,18091.01,17804.74,18005.54,121351
2026-05-04 12:00:00,17795.93,18033.53,17762.19,17844.29,341401
2026-05-04 13:00:00,17845.58,18089.73,17576.83,17858.23,225427
2026-05-04 14:00:00,17696.26,17903.14,17704.49,17787.42,277865
2026-05-04 15:00:00,17390.22,17469.61,17264.04,17429.62,265727
2026-05-04 16:00:00,17533.09,17562.69,17530.37,17541.32,107945
2026-05-04 17:00:00,17894.42,17863.41,17680.7,17814.26,341508
2026-05-04 18:00:00,17940.71,18276.38,17776.08,17890.98,494045
2026-05-04 19:00:00,17910.45,18160.54,17763.25,17864.78,454162
2026-05-04 20:00:00,17925.37,17918.64,17753.75,17773.96,179674
2026-05-04 21:00:00,17795.39,17872.72,17623.63,17835.3,250492
2026-05-04 22:00:00,17745.16,18235.19,17748.87,17855.68,567960
2026-05-04 23:00:00,17760.6,18004.21,17740.36,17830.82,412916
2026-05-05 00:00:00,18064.91,18056.35,18011.11,18045.63,287821
2026-05-05 01:00:00,18367.26,18408.03,18134.35,18294.3,161990
2026-05-05 02:00:00,18227.38,18377.89,18207.03,18316.07,480281
2026-05-05 03:00:00,18370.54,18695.72,18324.8,18454.28,165077
2026-05-05 04:00:00,18503.01,18549.69,18452.89,18503.6,233560
2026-05-05 05:00:00,18339.08,18260.5,18038.3,18237.26,184003
2026-05-05 06:00:00,18360.77,18410.12,18159.3,18343.89,372924
2026-05-05 07:00:00,18656.5,18744.89,18432.22,18652.38,371760
2026-05-05 08:00:00,18795.47,18980.84,18703.34,18869.56,110478
2026-05-05 09:00:00,18695.64,18695.52,18632.99,18662.0,457722
2026-05-05 10:00:00,18552.17,18722.86,18424.94,18548.98,471164
2026-05-05 11:00:00,18575.65,18662.65,18516.48,18534.3,273782
2026-05-05 12:00:00,18859.77,19067.89,18769.27,18877.15,439498
2026-05-05 13:00:00,18702.46,18709.65,18622.52,18703.7,447833
2026-05-05 14:00:00,18952.36,19132.21,18887.39,19062.86,152504
2026-05-05 15:00:00,18820.59,19254.25,18696.87,18821.31,430411
