datetime,open,high,low,close,volume
2026-05-04 05:00:00,296.39,301.38,297.31,297.44,512082
2026-05-04 06:00:00,299.19,301.17,298.03,299.61,302448
2026-05-04 07:00:00,303.47,305.99,300.61,304.64,170686
2026-05-04 08:00:00,304.6,307.62,300.1,303.53,423959
2026-05-04 09:00:00,301.98,301.39,296.87,301.25,135089
2026-05-04 10:00:00,296.67,301.77,296.2,296.74,96498
2026-05-04 11:00:00,291.86,295.32,290.26,292.02,1453382
2026-05-04 12:00:00,290.48,291.83,288.45,291.2,429438
2026-05-04 13:00:00,294.72,295.75,294.44,294.44,183991
2026-05-04 14:00:00,299.42,300.47,297.17,299.06,83186
2026-05-04 15:00:00,297.97,301.47,294.62,299.39,396766
2026-05-04 16:00:00,303.58,306.35,298.04,302.13,103705
2026-05-04 17:00:00,304.08,305.31,302.28,303.44,203697
2026-05-04 18:00:00,301.66,307.0,301.58,302.63,207173
2026-05-04 19:00:00,300.7,302.45,297.71,300.5,367125
2026-05-04 20:00:00,301.79,301.85,296.67,300.31,346592
2026-05-04 21:00:00,303.45,304.45,301.58,302.49,349453
2026-05-04 22:00:00,305.04,303.16,301.89,302.86,69573
2026-05-04 23:00:00,303.47,306.89,302.81,303.66,114282
2026-05-05 00:00:00,302.14,304.66,302.59,302.74,209157
2026-05-05 01:00:00,306.01,307.75,304.28,305.34,257816
2026-05-05 02:00:00,302.0,303.32,299.71,302.75,143821
2026-05-05 03:00:00,304.8,305.41,304.42,305.18,350986
2026-05-05 04:00:00,301.37,305.08,296.93,300.64,186364
2026-05-05 05:00:00,298.01,299.25,294.95,298.16,421461
2026-05-05 06:00:00,301.48,302.33,298.83,301.87,282435
2026-05-05 07:00:00,300.13,300.62,296.22,300.48,306868
2026-05-05 08:00:00,302.23,301.53,298.4,301.03,150317
2026-05-05 09:00:00,299.11,298.35,294.56,297.81,355701
2026-05-05 10:00:00,296.97,300.67,292.55,297.39,309148
2026-05-05 11:00:00,294.99,297.63,293.73,295.5,365938
2026-05-05 12:00:00,288.29,293.22,289.08,290.19,429413
2026-05-05 13:00:00,299.88,302.48,297.87,299.03,396196
2026-05-05 14:00:00,302.05,303.83,299.44,301.99,284789
2026-05-05 15:00:00,306.2,305.06,304.52,304.67,53212
2026-05-05 16:00:00,301.16,303.04,296.21,300.68,459842
2026-05-05 17:00:00,297.07,298.13,296.24,297.39,162912
2026-05-05 18:00:00,296.48,300.82,293.47,296.88,250795
2026-05-05 19:00:00,295.2,294.7,291.82,293.93,347479
2026-05-05 20:00:00,290.51,294.17,288.2,291.15,351112
2026-05-05 21:00:00,290.47,292.27,289.92,290.75,400709
2026-05-05 22:00:00,292.72,292.73,289.58,292.36,100277
2026-05-05 23:00:00,288.98,290.23,289.07,289.36,137226
2026-05-06 00:00:00,289.94,290.62,287.32,288.82,319634
2026-05-06 01:00:00,285.92,287.77,286.0,286.17,236752
2026-05-06 02:00:00,288.5,288.71,285.57,287.87,180925
2026-05-06 03:00:00,288.66,292.43,285.41,289.39,52434
2026-05-06 04:00:00,291.1,293.53,286.29,289.55,275770
2026-05-06 05:00:00,289.19,289.88,284.0,289.57,289285
2026-05-06 06:00:00,287.2,291.22,287.93,288.72,469989
2026-05-06 07:00:00,292.16,294.4,289.67,292.52,358187
2026-05-06 08:00:00,293.59,296.03,291.19,293.83,230405
