datetime,open,high,low,close,volume
2026-05-04 05:00:00,1047.1,1053.47,1044.34,1049.59,265116
2026-05-04 06:00:00,1055.71,1059.86,1055.54,1057.8,348840
2026-05-04 07:00:00,1068.5,1082.56,1054.75,1067.59,406465
2026-05-04 08:00:00,1075.86,1082.39,1061.96,1076.46,150016
2026-05-04 09:00:00,1098.92,1114.42,1095.71,1104.15,680577
2026-05-04 10:00:00,1118.43,1129.68,1118.16,1120.38,65293
2026-05-04 11:00:00,1120.45,1129.7,1093.24,1118.25,380676
2026-05-04 12:00:00,1115.2,1115.91,1107.66,1110.45,318298
2026-05-04 13:00:00,1097.77,1106.14,1087.82,1096.07,481336
2026-05-04 14:00:00,1094.31,1101.23,1088.8,1090.41,184006
2026-05-04 15:00:00,1080.15,1090.98,1076.69,1077.73,268140
2026-05-04 16:00:00,1056.14,1069.33,1054.57,1060.09,198657
2026-05-04 17:00:00,1041.89,1046.1,1015.38,1039.7,131815
2026-05-04 18:00:00,1034.1,1039.89,1038.03,1039.26,216206
2026-05-04 19:00:00,1035.1,1048.42,1021.28,1037.14,299653
2026-05-04 20:00:00,1048.2,1050.55,1038.31,1045.02,256365
2026-05-04 21:00:00,1046.17,1050.05,1046.02,1050.01,233721
2026-05-04 22:00:00,1053.86,1054.62,1045.17,1051.4,95841
2026-05-04 23:00:00,1048.67,1058.33,1032.56,1044.11,133830
2026-05-05 00:00:00,1043.17,1047.5,1034.43,1038.43,250760
2026-05-05 01:00:00,1050.54,1064.25,1040.42,1047.1,147612
2026-05-05 02:00:00,1042.37,1042.98,1040.9,1041.82,147488
2026-05-05 03:00:00,1042.58,1059.08,1028.61,1045.55,193869
2026-05-05 04:00:00,1026.15,1031.07,1023.5,1030.15,412417
2026-05-05 05:00:00,1014.81,1021.81,1014.15,1015.57,238067
2026-05-05 06:00:00,1027.89,1035.52,1027.41,1032.18,74645
2026-05-05 07:00:00,1012.18,1022.86,998.44,1015.33,1042825
2026-05-05 08:00:00,1017.14,1022.49,1012.47,1016.18,411682
2026-05-05 09:00:00,1031.0,1030.92,1021.27,1029.26,127850
2026-05-05 10:00:00,1018.37,1029.73,1002.86,1017.28,816128
2026-05-05 11:00:00,1016.4,1025.14,1006.23,1014.97,345138
2026-05-05 12:00:00,1006.45,1018.44,999.88,1007.43,189932
2026-05-05 13:00:00,999.12,1001.55,994.94,996.64,250763
2026-05-05 14:00:00,981.65,992.45,983.05,984.97,307371
2026-05-05 15:00:00,993.73,997.48,988.61,995.98,1688962
2026-05-05 16:00:00,1001.4,1007.7,992.08,1001.28,454492
2026-05-05 17:00:00,993.14,988.71,971.5,987.92,233858
2026-05-05 18:00:00,996.51,996.79,992.86,996.4,457545
2026-05-05 19:00:00,972.39,976.34,952.35,968.39,158950
2026-05-05 20:00:00,973.54,990.66,969.78,973.65,169891
2026-05-05 21:00:00,971.65,978.2,953.8,967.12,209586
2026-05-05 22:00:00,981.24,986.6,981.69,982.22,244290
2026-05-05 23:00:00,979.98,985.59,967.55,984.65,474580
2026-05-06 00:00:00,994.26,1001.35,990.09,993.71,412426
2026-05-06 01:00:00,1001.46,1004.81,994.91,1002.0,312100
2026-05-06 02:00:00,997.87,1015.91,991.72,999.09,278834
2026-05-06 03:00:00,1004.41,1013.09,996.3,1007.15,390872
2026-05-06 04:00:00,1023.77,1030.36,1011.5,1019.76,406098
2026-05-06 05:00:00,993.66,1004.75,990.86,994.7,411701
2026-05-06 06:00:00,979.66,990.67,973.1,979.48,138033
2026-05-06 07:00:00,1017.77,1016.46,997.11,1008.24,355227
2026-05-06 08:00:00,998.69,1001.5,993.43,999.27,481972
2026-05-06 09:00:00,987.31,999.93,987.93,988.99,288826
2026-05-06 10:00:00,946.88,956.44,926.99,949.76,422311
2026-05-06 11:00:00,945.35,951.06,941.19,947.55,87012
2026-05-06 12:00:00,940.86,955.39,940.08,941.27,301895
2026-05-06 13:00:00,952.48,955.24,948.72,952.43,423142
2026-05-06 14:00:00,951.43,966.55,936.55,953.82,410437
2026-05-06 15:00:00,960.37,967.59,954.76,964.96,366015
2026-05-06 16:00:00,970.53,974.95,959.22,972.03,81541
2026-05-06 17:00:00,969.87,965.28,952.82,962.84,117190
2026-05-06 18:00:00,958.14,963.69,942.17,962.06,324096
2026-05-06 19:00:00,961.1,963.14,949.03,960.88,499851
2026-05-06 20:00:00,933.65,935.86,928.73,935.64,239404
2026-05-06 21:00:00,916.18,917.57,905.31,913.18,392881
2026-05-06 22:00:00,913.6,917.75,906.73,911.61,127314
2026-05-06 23:00:00,920.11,920.29,904.27,915.63,343740
2026-05-07 00:00:00,926.23,942.65,925.58,928.15,851670
2026-05-07 01:00:00,923.1,930.74,903.3,921.12,89885
2026-05-07 02:00:00,920.86,939.47,916.11,920.82,391141
2026-05-07 03:00:00,915.55,926.46,910.85,918.77,185392
2026-05-07 04:00:00,919.4,929.98,916.22,920.73,73090
2026-05-07 05:00:00,935.81,952.16,937.29,938.86,214756
2026-05-07 06:00:00,930.93,931.4,927.78,927.92,170242
2026-05-07 07:00:00,941.71,942.5,930.62,938.8,2084177
2026-05-07 08:00:00,924.64,933.12,915.25,921.28,541814
